WHO.lineage	pangolin.lineage	synonym	cdc.classification
	B.1.466.1	B.1.466.1	
	B.1.466.2	B.1.466.2	
	B.1.517	20C/S.501T	
Eta	B.1.525	20A/S:484K	VBM
Iota	B.1.526	20C/S:484K	VBM
	B.1.526.1	B.1.526.1	
	B.1.526.2	B.1.526.2	
	B.1.596	B.1.596	
	B.1.616	B.1.616	
	B.1.617	B.1.617	
Kappa	B.1.617.1	21A/S:154K 	VBM
Delta	B.1.617.2	21A	VBM
NA	B.1.617.3	B.1.617.3	VBM
	B.1.618	B.1.618	
	B.1.619	B.1.619	
	B.1.620	B.1.620	
Mu	B.1.621	21H	VBM
Mu	B.1.621.1	Mu:B.1.621.1	VBM
Mu	B.1.621.2	Mu:B.1.621.2	VBM
	B.1.630	B.1.630	
	B.1.640	B.1.640	
	B.2	B.2	
Omicron	BA.1	B.1.1.529.1	VOC
Omicron	BA.1.1	B.1.1.529.1.1	VOC
Omicron	BA.1.1.1	B.1.1.529.1.1.1	VOC
Omicron	BA.1.1.10	B.1.1.529.1.1.10	VOC
Omicron	BA.1.1.11	B.1.1.529.1.1.11	VOC
Omicron	BA.1.1.12	B.1.1.529.1.1.12	VOC
Omicron	BA.1.1.13	B.1.1.529.1.1.13	VOC
Omicron	BA.1.1.14	B.1.1.529.1.1.14	VOC
Omicron	BA.1.1.15	B.1.1.529.1.1.15	VOC
Omicron	BA.1.1.16	B.1.1.529.1.1.16	VOC
Omicron	BA.1.1.17	B.1.1.529.1.1.17	VOC
Omicron	BA.1.1.18	B.1.1.529.1.1.18	VOC
Omicron	BA.1.1.2	B.1.1.529.1.1.2	VOC
Omicron	BA.1.1.3	B.1.1.529.1.1.3	VOC
Omicron	BA.1.1.4	B.1.1.529.1.1.4	VOC
Omicron	BA.1.1.5	B.1.1.529.1.1.5	VOC
Omicron	BA.1.1.6	B.1.1.529.1.1.6	VOC
Omicron	BA.1.1.7	B.1.1.529.1.1.7	VOC
Omicron	BA.1.1.8	B.1.1.529.1.1.8	VOC
Omicron	BA.1.1.9	B.1.1.529.1.1.9	VOC
Omicron	BA.1.10	B.1.1.529.1.10	VOC
Omicron	BA.1.12	B.1.1.529.1.12	VOC
Omicron	BA.1.13	B.1.1.529.1.13	VOC
Omicron	BA.1.13.1	B.1.1.529.1.13.1	VOC
Omicron	BA.1.14	B.1.1.529.1.14	VOC
Omicron	BA.1.14.1	B.1.1.529.1.14.1	VOC
Omicron	BA.1.14.2	B.1.1.529.1.14.2	VOC
Omicron	BA.1.15	B.1.1.529.1.15	VOC
Omicron	BA.1.15.1	B.1.1.529.1.15.1	VOC
Omicron	BA.1.15.2	B.1.1.529.1.15.2	VOC
Omicron	BA.1.15.3	B.1.1.529.1.15.3	VOC
Omicron	BA.1.16	B.1.1.529.1.16	VOC
Omicron	BA.1.16.1	B.1.1.529.1.16.1	VOC
Omicron	BA.1.16.2	B.1.1.529.1.16.2	VOC
Omicron	BA.1.17	B.1.1.529.1.17	VOC
Omicron	BA.1.17.1	B.1.1.529.1.17.1	VOC
Omicron	BA.1.17.2	B.1.1.529.1.17.2	VOC
Omicron	BA.1.18	B.1.1.529.1.18	VOC
Omicron	BA.1.19	B.1.1.529.1.19	VOC
Omicron	BA.1.20	B.1.1.529.1.20	VOC
Omicron	BA.1.21.1	B.1.1.529.1.21.1	VOC
Omicron	BA.1.23	B.1.1.529.1.23	VOC
Omicron	BA.1.3	B.1.1.529.1.3	VOC
Omicron	BA.1.4	B.1.1.529.1.4	VOC
Omicron	BA.1.5	B.1.1.529.1.5	VOC
Omicron	BA.1.8	B.1.1.529.1.8	VOC
Omicron	BA.1.9	B.1.1.529.1.9	VOC
Omicron	BA.2	B.1.1.529.2	VOC
Omicron	BA.2.1	B.1.1.529.2.1	VOC
Omicron	BA.2.10	B.1.1.529.2.10	VOC
Omicron	BA.2.10.1	B.1.1.529.2.10.1	VOC
Omicron	BA.2.10.2	B.1.1.529.2.10.2	VOC
Omicron	BA.2.10.3	B.1.1.529.2.10.3	VOC
Omicron	BA.2.10.4	B.1.1.529.2.10.4	VOC
Omicron	BA.2.11	B.1.1.529.2.11	VOC
Omicron	BA.2.12	B.1.1.529.2.12	VOC
Omicron	BA.2.12.1	B.1.1.529.2.12.1	VOC
Omicron	BA.2.12.2	B.1.1.529.2.12.2	VOC
Omicron	BA.2.13	B.1.1.529.2.13	VOC
Omicron	BA.2.13.1	B.1.1.529.2.13.1	VOC
Omicron	BA.2.14	B.1.1.529.2.14	VOC
Omicron	BA.2.15	B.1.1.529.2.15	VOC
Omicron	BA.2.17	B.1.1.529.2.17	VOC
Omicron	BA.2.18	B.1.1.529.2.18	VOC
Omicron	BA.2.19	B.1.1.529.2.19	VOC
Omicron	BA.2.2	B.1.1.529.2.2	VOC
Omicron	BA.2.2.1	B.1.1.529.2.2.1	VOC
Omicron	BA.2.20	B.1.1.529.2.20	VOC
Omicron	BA.2.21	B.1.1.529.2.21	VOC
Omicron	BA.2.22	B.1.1.529.2.22	VOC
Omicron	BA.2.23	B.1.1.529.2.23	VOC
Omicron	BA.2.23.1	B.1.1.529.2.23.1	VOC
Omicron	BA.2.24	B.1.1.529.2.24	VOC
Omicron	BA.2.25	B.1.1.529.2.25	VOC
Omicron	BA.2.25.1	B.1.1.529.2.25.1	VOC
Omicron	BA.2.26	B.1.1.529.2.26	VOC
Omicron	BA.2.27	B.1.1.529.2.27	VOC
Omicron	BA.2.28	B.1.1.529.2.28	VOC
Omicron	BA.2.29	B.1.1.529.2.29	VOC
Omicron	BA.2.3	B.1.1.529.2.3	VOC
Omicron	BA.2.3.1	B.1.1.529.2.3.1	VOC
Omicron	BA.2.3.10	B.1.1.529.2.3.10	VOC
Omicron	BA.2.3.11	B.1.1.529.2.3.11	VOC
Omicron	BA.2.3.12	B.1.1.529.2.3.12	VOC
Omicron	BA.2.3.13	B.1.1.529.2.3.13	VOC
Omicron	BA.2.3.14	B.1.1.529.2.3.14	VOC
Omicron	BA.2.3.15	B.1.1.529.2.3.15	VOC
Omicron	BA.2.3.16	B.1.1.529.2.3.16	VOC
Omicron	BA.2.3.17	B.1.1.529.2.3.17	VOC
Omicron	BA.2.3.18	B.1.1.529.2.3.18	VOC
Omicron	BA.2.3.2	B.1.1.529.2.3.2	VOC
Omicron	BA.2.3.20	B.1.1.529.2.3.20	VOC
Omicron	BA.2.3.21	B.1.1.529.2.3.21	VOC
Omicron	BA.2.3.4	B.1.1.529.2.3.4	VOC
Omicron	BA.2.3.5	B.1.1.529.2.3.5	VOC
Omicron	BA.2.3.6	B.1.1.529.2.3.6	VOC
Omicron	BA.2.3.7	B.1.1.529.2.3.7	VOC
Omicron	BA.2.3.8	B.1.1.529.2.3.8	VOC
Omicron	BA.2.3.9	B.1.1.529.2.3.9	VOC
Omicron	BA.2.30	B.1.1.529.2.30	VOC
Omicron	BA.2.31	B.1.1.529.2.31	VOC
Omicron	BA.2.31.1	B.1.1.529.2.31.1	VOC
Omicron	BA.2.32	B.1.1.529.2.32	VOC
Omicron	BA.2.33	B.1.1.529.2.33	VOC
Omicron	BA.2.34	B.1.1.529.2.34	VOC
Omicron	BA.2.35	B.1.1.529.2.35	VOC
Omicron	BA.2.36	B.1.1.529.2.36	VOC
Omicron	BA.2.37	B.1.1.529.2.37	VOC
Omicron	BA.2.38	B.1.1.529.2.38	VOC
Omicron	BA.2.38.1	B.1.1.529.2.38.1	VOC
Omicron	BA.2.38.2	B.1.1.529.2.38.2	VOC
Omicron	BA.2.38.3	B.1.1.529.2.38.3	VOC
Omicron	BA.2.39	B.1.1.529.2.39	VOC
Omicron	BA.2.4	B.1.1.529.2.4	VOC
Omicron	BA.2.40	B.1.1.529.2.40	VOC
Omicron	BA.2.40.1	B.1.1.529.2.40.1	VOC
Omicron	BA.2.41	B.1.1.529.2.41	VOC
Omicron	BA.2.42	B.1.1.529.2.42	VOC
Omicron	BA.2.43	B.1.1.529.2.43	VOC
Omicron	BA.2.44	B.1.1.529.2.44	VOC
Omicron	BA.2.45	B.1.1.529.2.45	VOC
Omicron	BA.2.46	B.1.1.529.2.46	VOC
Omicron	BA.2.47	B.1.1.529.2.47	VOC
Omicron	BA.2.48	B.1.1.529.2.48	VOC
Omicron	BA.2.49	B.1.1.529.2.49	VOC
Omicron	BA.2.5	B.1.1.529.2.5	VOC
Omicron	BA.2.50	B.1.1.529.2.50	VOC
Omicron	BA.2.51	B.1.1.529.2.51	VOC
Omicron	BA.2.52	B.1.1.529.2.52	VOC
Omicron	BA.2.53	B.1.1.529.2.53	VOC
Omicron	BA.2.54	B.1.1.529.2.54	VOC
Omicron	BA.2.55	B.1.1.529.2.55	VOC
Omicron	BA.2.56	B.1.1.529.2.56	VOC
Omicron	BA.2.57	B.1.1.529.2.57	VOC
Omicron	BA.2.58	B.1.1.529.2.58	VOC
Omicron	BA.2.59	B.1.1.529.2.59	VOC
Omicron	BA.2.6	B.1.1.529.2.6	VOC
Omicron	BA.2.60	B.1.1.529.2.60	VOC
Omicron	BA.2.61	B.1.1.529.2.61	VOC
Omicron	BA.2.62	B.1.1.529.2.62	VOC
Omicron	BA.2.63	B.1.1.529.2.63	VOC
Omicron	BA.2.64	B.1.1.529.2.64	VOC
Omicron	BA.2.66	B.1.1.529.2.66	VOC
Omicron	BA.2.67	B.1.1.529.2.67	VOC
Omicron	BA.2.68	B.1.1.529.2.68	VOC
Omicron	BA.2.7	B.1.1.529.2.7	VOC
Omicron	BA.2.70	B.1.1.529.2.70	VOC
Omicron	BA.2.71	B.1.1.529.2.71	VOC
Omicron	BA.2.72	B.1.1.529.2.72	VOC
Omicron	BA.2.73	B.1.1.529.2.73	VOC
Omicron	BA.2.74	B.1.1.529.2.74	VOC
Omicron	BA.2.75	B.1.1.529.2.75	VOC
Omicron	BA.2.75.2	B.1.1.529.2.75.2	VOC
Omicron	BA.2.75.3	B.1.1.529.2.75.3	VOC
Omicron	BA.2.75.4	B.1.1.529.2.75.4	VOC
Omicron	BA.2.75.5	B.1.1.529.2.75.5	VOC
Omicron	BA.2.75.9	B.1.1.529.2.75.9	VOC
Omicron	BA.2.76	B.1.1.529.2.76	VOC
Omicron	BA.2.76.1	B.1.1.529.2.76.1	VOC
Omicron	BA.2.77	B.1.1.529.2.77	VOC
Omicron	BA.2.78	B.1.1.529.2.78	VOC
Omicron	BA.2.79	B.1.1.529.2.79	VOC
